environment,agent,family,config_id,hyperparams,status,selection_score,avg_reward,std_reward,min_reward,max_reward,median_reward,avg_length,avg_step_time_ms,win_rate,loss_rate,draw_rate,num_episodes,episodes_trained,training_time_seconds,seed,error,rank
LineWorld,TabularQL,tabular_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.1}",OK,0.44998347449190795,0.2000000000000001,2.7755575615628914e-17,,,,9.0,0.01666280958387587,1.0,0.0,0.0,20,100,0.03745770454406738,43,,1
LineWorld,DDQN+ER,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.4499670010367363,0.2000000000000001,2.7755575615628914e-17,,,,9.0,0.033549467722574874,1.0,0.0,0.0,20,100,2.2935895919799805,43,,2
LineWorld,DDQN+PER,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.4499619669760876,0.2000000000000001,2.7755575615628914e-17,,,,9.0,0.038765536414252386,1.0,0.0,0.0,20,100,3.183849334716797,43,,3
LineWorld,A2C,actor_critic,1,"{""discount_factor"": 0.95, ""entropy_coef"": 0.0, ""learning_rate"": 0.003}",OK,0.44996174130583255,0.2000000000000001,2.7755575615628914e-17,,,,9.0,0.03899998135036892,1.0,0.0,0.0,20,100,0.24869680404663086,43,,4
LineWorld,DoubleDQN,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.44996174003100403,0.2000000000000001,2.7755575615628914e-17,,,,9.0,0.039001305898030594,1.0,0.0,0.0,20,100,1.015883207321167,43,,5
LineWorld,DQN,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.44996172728280814,0.2000000000000001,2.7755575615628914e-17,,,,9.0,0.039014551374647356,1.0,0.0,0.0,20,100,2.936422824859619,43,,6
LineWorld,REINFORCE+Critic,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,0.4499565927981705,0.2000000000000001,2.7755575615628914e-17,,,,9.0,0.0443630748324924,1.0,0.0,0.0,20,100,0.17514991760253906,43,,7
LineWorld,PPO,actor_critic_policy_optimization,1,"{""clip_ratio"": 0.1, ""discount_factor"": 0.95, ""learning_rate"": 0.003}",OK,0.4499459416128046,0.2000000000000001,2.7755575615628914e-17,,,,9.0,0.05554623074001737,1.0,0.0,0.0,20,100,0.6746387481689453,43,,8
LineWorld,RandomRollout,planning,1,"{""max_rollout_depth"": 25, ""search_budget"": 10}",OK,-0.36685791148193214,-0.3650000000000001,0.5022698477910059,,,,14.65,5.266468786344032,0.3,0.7,0.0,20,100,8.740155696868896,43,,9
LineWorld,MCTS,planning,1,"{""exploration_constant"": 1.0, ""max_rollout_depth"": 25, ""search_budget"": 10}",OK,-1.5274494759102197,-1.4249999999999994,1.8280795934531926,,,,25.25,4.305160232637006,0.05,0.95,0.0,20,100,6.486316204071045,43,,10
LineWorld,Random,baseline,1,{},OK,-6.524198508488049,-6.369999999999996,5.4184961013181505,,,,73.6,0.013639657721872594,0.0,1.0,0.0,20,100,0.1359090805053711,43,,11
LineWorld,REINFORCE+Mean,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,-20.10003925466202,-20.00000000000001,3.552713678800501e-15,,,,200.0,0.04003530740737915,0.0,1.0,0.0,20,100,0.4810044765472412,43,,12
LineWorld,REINFORCE,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,-20.10004176084658,-20.00000000000001,3.552713678800501e-15,,,,200.0,0.04264509677886963,0.0,1.0,0.0,20,100,0.4747037887573242,43,,13
GridWorld,TabularQL,tabular_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.1}",OK,10.879969213198255,10.629999999999999,1.7763568394002505e-15,,,,8.0,0.03126561641693115,1.0,0.0,0.0,20,100,0.049645185470581055,43,,1
GridWorld,DDQN+ER,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,10.879947933309648,10.629999999999999,1.7763568394002505e-15,,,,8.0,0.05344599485397339,1.0,0.0,0.0,20,100,2.244025707244873,43,,2
GridWorld,DDQN+PER,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,10.879945290246352,10.629999999999999,1.7763568394002505e-15,,,,8.0,0.056234002113342285,1.0,0.0,0.0,20,100,3.1148548126220703,43,,3
GridWorld,REINFORCE+Critic,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,10.879945288835572,10.629999999999999,1.7763568394002505e-15,,,,8.0,0.05623549222946167,1.0,0.0,0.0,20,100,0.22706007957458496,43,,4
GridWorld,DoubleDQN,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,10.8799452225311,10.629999999999999,1.7763568394002505e-15,,,,8.0,0.056305527687072754,1.0,0.0,0.0,20,100,0.6354587078094482,43,,5
GridWorld,DQN,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,10.879945081472384,10.629999999999999,1.7763568394002505e-15,,,,8.0,0.05645453929901123,1.0,0.0,0.0,20,100,2.845128059387207,43,,6
GridWorld,REINFORCE+Mean,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,10.879939376836745,10.629999999999999,1.7763568394002505e-15,,,,8.0,0.06249845027923584,1.0,0.0,0.0,20,100,0.23057317733764648,43,,7
GridWorld,A2C,actor_critic,1,"{""discount_factor"": 0.95, ""entropy_coef"": 0.0, ""learning_rate"": 0.003}",OK,10.879939374031819,10.629999999999999,1.7763568394002505e-15,,,,8.0,0.06250143051147461,1.0,0.0,0.0,20,100,0.28228163719177246,43,,8
GridWorld,REINFORCE,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,10.87993931513022,10.629999999999999,1.7763568394002505e-15,,,,8.0,0.06256401538848877,1.0,0.0,0.0,20,100,0.22904300689697266,43,,9
GridWorld,PPO,actor_critic_policy_optimization,1,"{""clip_ratio"": 0.1, ""discount_factor"": 0.95, ""learning_rate"": 0.003}",OK,10.879910460813681,10.629999999999999,1.7763568394002505e-15,,,,8.0,0.09367018938064575,1.0,0.0,0.0,20,100,1.864069938659668,43,,10
GridWorld,RandomRollout,planning,1,"{""max_rollout_depth"": 25, ""search_budget"": 10}",OK,10.831406244376966,10.5855,0.045659062627259626,,,,12.45,36.983999176996925,1.0,0.0,0.0,20,100,60.73230838775635,43,,11
GridWorld,MCTS,planning,1,"{""exploration_constant"": 1.0, ""max_rollout_depth"": 25, ""search_budget"": 10}",OK,10.742167770803016,10.4955,0.10433000527173378,,,,21.45,8.864368707467253,1.0,0.0,0.0,20,100,27.553214073181152,43,,12
GridWorld,Random,baseline,1,{},OK,9.065441302074088,8.886,3.552633389473223,,,,78.3,0.03289344229282377,0.9,0.1,0.0,20,100,0.4231119155883789,43,,13
TicTacToe,A2C,actor_critic,1,"{""discount_factor"": 0.95, ""entropy_coef"": 0.0, ""learning_rate"": 0.003}",OK,1.185133077678632,0.95,0.21794494717703372,,,,4.15,0.20619750022888184,0.95,0.0,0.05,20,100,0.2455122470855713,43,,1
TicTacToe,MCTS,planning,1,"{""exploration_constant"": 1.0, ""max_rollout_depth"": 25, ""search_budget"": 10}",OK,1.12680338046144,0.9,0.4358898943540673,,,,3.7,2.8103482723236084,0.95,0.05,0.0,20,100,1.166295051574707,43,,2
TicTacToe,REINFORCE,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,1.0088612711716036,0.8,0.6000000000000001,,,,4.05,0.14881253242492676,0.9,0.1,0.0,20,100,0.12987923622131348,43,,3
